ds,y,Open,High,Low,Volume,Chg%
2019-06-09,38551,38821,38962,38385,40450,0.12
2019-06-11,38239,37980,38273,37957,20310,-0.57
2019-06-12,37748,38087,38170,37711,16890,-0.91
2019-07-01,31652,31536,31748,31456,12800,-0.09
2019-07-02,33056,33169,33200,32951,10600,-0.5
2019-07-03,31946,31959,31980,31800,14750,-0.03
2019-07-05,31739,31600,31758,31542,12370,0.51
2019-07-06,32867,32641,32944,32610,18520,0.41
2019-07-08,37899,37250,38125,37250,44110,1.93
2019-07-10,37978,38225,38302,37765,15800,-0.06
2019-07-11,37595,38188,38245,37536,27880,-1.68
2019-08-01,31736,31616,31758,31572,10840,0.27
2019-08-02,33125,33000,33142,32910,9430,0.21
2019-08-03,32174,31980,32235,31955,16620,0.71
2019-08-04,32076,31795,32155,31795,12900,1.62
2019-08-05,31697,31740,31930,31676,16670,-0.13
2019-08-07,34535,34550,34759,34475,23910,0.48
2019-08-08,37311,37899,37899,37175,33790,-1.55
2019-08-10,38242,38179,38400,38179,10520,0.7
2019-08-11,37705,37655,37880,37488,27500,0.29
2019-09-01,31993,31685,32016,31639,14630,0.81
2019-09-04,32098,32131,32171,32020,11010,0.07
2019-09-05,31926,31749,32049,31719,18690,0.72
2019-09-07,34533,34499,34581,34300,25570,-0.01
2019-09-08,37558,37419,37684,37355,22870,0.66
2019-09-09,38459,38578,39699,38265,31730,-0.24
2019-09-10,38384,38279,38418,38154,20030,0.37
2019-09-12,37638,37774,37774,37610,9220,-0.29
2019-10-01,31878,32090,32119,31855,13330,-0.36
2019-10-04,32174,32070,32197,31968,11740,0.24
2019-10-05,31917,31895,32004,31790,15880,-0.03
2019-10-06,32611,32800,32800,32585,9620,-0.78
2019-10-07,34765,34469,34806,34332,31360,0.67
2019-10-09,38248,38382,38487,38200,18610,-0.55
2019-10-10,38120,38400,38434,38030,20640,-0.69
2019-10-12,37604,37604,37728,37550,12400,-0.09
2019-11-01,31924,31907,32065,31888,10560,0.14
2019-11-02,32931,33060,33082,32811,11150,-0.59
2019-11-03,31915,32214,32214,31897,12410,-0.8
2019-11-04,31663,32148,32148,31638,17110,-1.59
2019-11-06,32576,32640,32662,32431,10980,-0.11
2019-11-07,34612,34800,34995,34591,34610,-0.44
2019-11-09,37965,38200,38260,37931,27740,-0.74
2019-11-10,37839,38050,38263,37736,27080,-0.74
2019-11-11,37688,37710,37850,37532,17280,-0.05
2019-11-12,37693,37602,37741,37554,10900,0.24
2019-12-02,32747,32915,32945,32721,9360,-0.56
2019-12-03,32015,31906,32056,31885,12060,0.31
2019-12-04,31760,31721,31871,31705,11010,0.31
2019-12-06,32685,32617,32776,32617,11390,0.33
2019-12-07,34812,34698,34862,34611,23110,0.58
2019-12-08,37812,37620,37909,37620,9180,0.68
